"GENC","Country/Area Name","Year","GROUP","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex ratio of the population"
"VN","Vietnam","1989","32","907529","1.3777894771856056","436006","1.3523734556441105","471523","1.4021561880007334","0.9246759967170213"
"VN","Vietnam","1989","33","857379","1.3016529104413386","406304","1.260245832676671","451075","1.341350480257444","0.9007459956769939"
"VN","Vietnam","1989","34","876394","1.3305210423783722","423006","1.312050948790137","453388","1.348228590684392","0.9329889630956267"
"VN","Vietnam","1989","35","729658","1.107749850797379","346826","1.0757610586258544","382832","1.1384179727493606","0.9059483010824592"
"VN","Vietnam","1989","36","734232","1.1146939915010337","343013","1.0639341571924543","391219","1.1633581855253272","0.8767800132406657"
"VN","Vietnam","1989","37","571654","0.8678718429835964","265117","0.8223216961234469","306537","0.9115414336123177","0.8648776493539116"
"VN","Vietnam","1989","38","657904","0.9988145923693003","309271","0.9592755397873185","348633","1.0367212591777277","0.887096172766204"
"VN","Vietnam","1989","39","610541","0.9269091843790963","278561","0.8640213716730482","331980","0.9872006483087432","0.8390897041990482"
"VN","Vietnam","1989","40","517982","0.7863882575339789","233845","0.7253243550205661","284137","0.8449311121407956","0.8230008763378229"
"VN","Vietnam","1989","41","490918","0.7453003204977506","229754","0.7126351722867506","261164","0.7766168748566317","0.8797307439003844"
"VN","Vietnam","1989","42","407519","0.6186858931815962","193030","0.5987271921555727","214489","0.6378205911654136","0.8999529113381106"
"VN","Vietnam","1989","43","405489","0.6156039942685182","190454","0.5907371323358931","215035","0.639444217751282","0.8856883763108331"
"VN","Vietnam","1989","44","391210","0.5939259476774635","179696","0.557368707048582","211514","0.6289739078449771","0.8495702412133476"
"VN","Vietnam","1989","45","345407","0.5243888955022358","156053","0.4840344740063906","189354","0.5630772683892215","0.8241336333005904"
"VN","Vietnam","1989","46","380786","0.5781004726676481","170445","0.5286745908250354","210341","0.6254857869929192","0.8103270403772921"
"VN","Vietnam","1989","47","357570","0.5428544799750278","153768","0.47694701799398076","203802","0.6060409257383531","0.754497011805576"
"VN","Vietnam","1989","48","444334","0.6745775722382303","203209","0.6302997150222337","241125","0.7170274002152108","0.8427537584240539"
"VN","Vietnam","1989","49","422225","0.6410122012681604","192522","0.5971515126569712","229703","0.683062083614866","0.8381344605860611"
"VN","Vietnam","1989","50","369272","0.5606201849409583","168568","0.5228526411815809","200704","0.5968284803848364","0.8398836096938775"
"VN","Vietnam","1989","51","412243","0.6258577604059217","183237","0.568351937569345","229006","0.680989432094078","0.800140607669668"
"VN","Vietnam","1989","52","388513","0.5898314248358026","175080","0.543051115384125","213433","0.6346803902960418","0.820304264101615"
"VN","Vietnam","1989","53","381297","0.5788762610147333","168861","0.5237614484514436","212436","0.6317156362555459","0.7948793989719256"
"VN","Vietnam","1989","54","371908","0.5646220989975463","161999","0.5024773682951387","209909","0.6242011593645399","0.7717582380936501"
"VN","Vietnam","1989","55","381011","0.5784420624486544","171622","0.5323253285609681","209389","0.6226548483303795","0.8196323589109266"
"VN","Vietnam","1989","56","388305","0.5895156440604726","175731","0.5450703424581202","212574","0.6321260034146116","0.826681532078241"
"VN","Vietnam","1989","57","346073","0.5254000012540141","154937","0.48057294187954186","191136","0.5683763573562862","0.8106112924828395"
"VN","Vietnam","1989","58","436978","0.6634098636645348","210793","0.6538232451745823","226185","0.6726006947337582","0.9319495103565665"
"VN","Vietnam","1989","59","403339","0.6123399141389035","190144","0.5897755956339906","213195","0.633972655630407","0.8918783273528929"
"VN","Vietnam","1989","60","349521","0.5306346748758333","159384","0.4943663409548971","190137","0.5654056559656591","0.83825872923208"
"VN","Vietnam","1989","61","352111","0.5345667527994156","163608","0.507468053951142","188503","0.5605466709083168","0.8679331363426577"
"VN","Vietnam","1989","62","313283","0.4756189838353794","141804","0.43983790476313955","171479","0.5099228265899601","0.8269467398340321"
"VN","Vietnam","1989","63","327115","0.4966184053948352","144989","0.449716918942363","182126","0.5415835450143929","0.7960917167235869"
"VN","Vietnam","1989","64","304416","0.46215731011012684","133777","0.41494030764645934","170639","0.5074249395347781","0.7839766993477458"
"VN","Vietnam","1989","65","272926","0.4143499225373058","116665","0.3618634817014448","156261","0.4646694394402449","0.7466034391178861"
"VN","Vietnam","1989","66","280899","0.42645434619936046","121786","0.37774744767061375","159113","0.4731503607276012","0.7654057179488791"
"VN","Vietnam","1989","67","244025","0.3704730947112626","102837","0.3189727413340031","141188","0.41984723517505523","0.7283692665099016"
"VN","Vietnam","1989","68","292802","0.44452520470298984","128886","0.3997697398754761","163916","0.48743292206812444","0.7862929793308768"
"VN","Vietnam","1989","69","255824","0.3883860628272269","111529","0.34593298976282894","144295","0.42908644360416315","0.7729235247236564"
"VN","Vietnam","1989","70","203417","0.30882297103526646","85604","0.26552060590211696","117813","0.35033758051448266","0.7266091178392877"
"VN","Vietnam","1989","71","188076","0.2855326206778626","79679","0.24714284797059458","108397","0.3223374560959179","0.7350664686292057"
"VN","Vietnam","1989","72","172267","0.26153176357596586","70732","0.21939165806117164","101535","0.30193209779513297","0.6966267789432216"
