"Name","Region","GENC","Year","Area in Square Kilometers","Population","Male Population","Female Population","Annual Growth Rate %","Rate of Natural Increase","Population Density (People per Sq. Km.)","Dependency ratio","Youth dependency ratio","Old age dependency ratio","Median age, both sexes","Median age, females","Median age, males","Natural Increase","Sex ratio of the population","Total Fertility Rate","Age-specific Fertility Rate 15-19 ","Age-specific Fertility Rate 20-24","Age-specific Fertility Rate 25-29","Age-specific Fertility Rate 30-34","Age-specific Fertility Rate 35-39","Age-specific Fertility Rate 40-44","Age-specific Fertility Rate 45-49","Crude Birth Rate","Gross Reproduction Rate","Births, both sexes","Sex Ratio at Birth","Births to mothers aged 15-19","Births to mothers aged 20-24","Births to mothers aged 25-29","Births to mothers aged 30-34","Births to mothers aged 35-39","Births to mothers aged 40-44","Births to mothers aged 45-49","Life Expectancy at Birth, Both Sexes","Life Expectancy at Birth, Males","Life Expectancy at Birth, Females","Infant Mortality Rate, Both Sexes","Infant Mortality Rate, Males","Infant Mortality Rate, Females","Age 1-4 Mortality, Both Sexes","Age 1-4 Mortality, Males","Age 1-4 Mortality, Females","Under Age 5 Mortality, Both Sexes","Under Age 5 Mortality, Males","Under Age 5 Mortality, Females","Crude Death Rate","Deaths, both sexes","Net Migration Rate","Net international migrants, both sexes"
" -> 2039","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2039,Vietnam","VN","2039","310,070","116,809,494","58,786,826","58,022,668","0.47","0.48","376.7","49.7","27.6","22.1","38.4","39.9","36.9","564,708","1.01","1.84","19.60","84.50","121.60","90.50","38.10","11.70","1.60","11.8","0.89","1,383,148","1.06","74,149","328,207","460,486","333,435","136,742","43,390","6,739","79.8","77.3","82.3","10.1","10.3","9.8","2.7","2.5","2.9","12.7","12.9","12.6","7.0","818,440","-0.2","-22,090"
" -> 2040","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2040,Vietnam","VN","2040","310,070","117,338,534","59,049,048","58,289,486","0.44","0.46","378.4","50.1","27.3","22.8","38.6","40.2","37.2","537,553","1.01","1.83","18.70","82.60","121.30","91.00","38.10","11.80","1.60","11.7","0.89","1,375,731","1.06","69,954","319,458","464,345","334,248","138,195","42,774","6,757","80.0","77.6","82.5","9.8","10.1","9.6","2.6","2.5","2.8","12.4","12.6","12.3","7.1","838,178","-0.2","-22,090"
" -> 2041","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2041,Vietnam","VN","2041","310,070","117,840,557","59,297,272","58,543,285","0.42","0.43","380.0","50.7","27.1","23.6","38.9","40.5","37.5","510,673","1.01","1.81","17.80","80.60","121.00","91.50","38.10","12.00","1.70","11.6","0.88","1,368,584","1.06","65,860","309,942","468,044","336,548","138,932","42,517","6,741","80.2","77.8","82.7","9.6","9.9","9.4","2.6","2.4","2.7","12.2","12.3","12.1","7.3","857,911","-0.2","-22,090"
" -> 2042","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2042,Vietnam","VN","2042","310,070","118,315,913","59,532,133","58,783,780","0.39","0.41","381.6","51.2","26.9","24.3","39.2","40.8","37.7","484,219","1.01","1.80","17.00","78.60","120.60","92.00","38.00","12.10","1.70","11.5","0.87","1,360,498","1.06","61,860","300,510","469,314","340,450","138,950","42,723","6,691","80.4","78.1","82.9","9.4","9.7","9.1","2.5","2.3","2.7","11.9","12.0","11.8","7.4","876,279","-0.2","-22,090"
" -> 2043","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2043,Vietnam","VN","2043","310,070","118,763,382","59,753,042","59,010,340","0.36","0.38","383.0","51.7","26.7","25.0","39.5","41.0","38.0","454,899","1.01","1.79","16.10","76.70","120.30","92.50","38.00","12.20","1.70","11.4","0.87","1,350,997","1.06","57,971","291,534","466,909","345,438","139,318","43,216","6,611","80.7","78.3","83.2","9.2","9.5","8.9","2.4","2.3","2.6","11.6","11.7","11.5","7.6","896,098","-0.2","-22,090"
" -> 2044","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2044,Vietnam","VN","2044","310,070","119,181,085","59,959,141","59,221,944","0.34","0.36","384.4","52.3","26.5","25.8","39.8","41.3","38.3","424,686","1.01","1.78","15.20","74.70","120.00","93.00","38.00","12.30","1.80","11.3","0.86","1,340,444","1.06","54,211","281,594","463,886","350,722","139,500","43,993","6,538","80.9","78.5","83.4","9.0","9.2","8.7","2.4","2.2","2.5","11.3","11.4","11.2","7.7","915,758","-0.2","-22,090"
" -> 2045","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2045,Vietnam","VN","2045","310,070","119,568,023","60,150,007","59,418,016","0.31","0.33","385.6","53.0","26.4","26.6","40.0","41.6","38.6","393,370","1.01","1.76","14.40","72.80","119.70","93.50","38.00","12.40","1.80","11.1","0.86","1,329,301","1.06","50,569","270,760","460,960","356,542","139,065","44,889","6,516","81.1","78.7","83.6","8.8","9.0","8.5","2.3","2.1","2.5","11.1","11.2","11.0","7.8","935,931","-0.2","-22,090"
" -> 2046","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2046,Vietnam","VN","2046","310,070","119,923,716","60,325,423","59,598,293","0.28","0.30","386.8","53.6","26.3","27.3","40.3","41.9","38.9","362,196","1.01","1.75","13.50","70.80","119.30","94.00","38.00","12.50","1.90","11.0","0.85","1,317,696","1.06","47,034","260,178","456,828","362,301","139,251","45,559","6,545","81.3","79.0","83.8","8.6","8.8","8.3","2.2","2.1","2.4","10.8","10.9","10.7","8.0","955,500","-0.2","-22,090"
" -> 2047","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2047,Vietnam","VN","2047","310,070","120,248,688","60,485,627","59,763,061","0.26","0.28","387.8","54.3","26.1","28.2","40.6","42.2","39.2","331,928","1.01","1.74","12.60","68.90","119.00","94.50","38.00","12.70","1.90","10.9","0.84","1,305,078","1.06","43,596","249,829","452,696","366,223","140,093","45,997","6,644","81.5","79.2","84.0","8.4","8.7","8.2","2.2","2.0","2.3","10.6","10.7","10.5","8.1","973,150","-0.2","-22,090"
" -> 2048","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2048,Vietnam","VN","2048","310,070","120,542,171","60,630,224","59,911,947","0.23","0.25","388.8","55.4","26.1","29.3","40.9","42.4","39.5","299,219","1.01","1.73","11.70","66.90","118.70","95.00","38.00","12.80","1.90","10.7","0.84","1,291,166","1.06","40,253","239,788","449,135","367,280","141,372","46,551","6,787","81.7","79.4","84.2","8.2","8.5","8.0","2.1","2.0","2.3","10.3","10.4","10.2","8.2","991,947","-0.2","-22,090"
" -> 2049","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2049,Vietnam","VN","2049","310,070","120,802,318","60,758,338","60,043,980","0.20","0.22","389.6","56.6","26.1","30.5","41.2","42.7","39.8","265,254","1.01","1.71","10.90","65.00","118.30","95.50","38.00","12.90","2.00","10.6","0.83","1,275,688","1.06","36,999","230,137","443,942","367,831","142,758","47,045","6,976","81.9","79.6","84.4","8.0","8.3","7.8","2.1","1.9","2.2","10.1","10.2","10.0","8.4","1,010,434","-0.2","-22,090"
" -> 2050","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2050,Vietnam","VN","2050","310,070","121,027,926","60,869,391","60,158,535","0.17","0.19","390.3","57.7","26.0","31.7","41.4","43.0","40.1","230,144","1.01","1.70","10.00","63.00","118.00","96.00","38.00","13.00","2.00","10.4","0.83","1,259,084","1.06","33,823","220,852","437,111","368,437","144,345","47,331","7,185","82.1","79.9","84.6","7.9","8.1","7.6","2.0","1.9","2.2","9.8","9.9","9.7","8.5","1,028,940","-0.2","-22,090"
" -> 2051","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2051,Vietnam","VN","2051","310,070","121,222,884","60,965,328","60,257,556","0.15","0.17","391.0","58.6","25.9","32.7","41.7","43.2","40.4","203,953","1.01","1.70","10.10","62.90","117.60","96.10","38.20","13.00","2.00","10.3","0.83","1,250,701","1.06","33,980","218,482","430,313","366,462","146,834","47,332","7,298","82.3","80.1","84.8","7.7","7.9","7.4","1.9","1.8","2.1","9.6","9.7","9.5","8.6","1,046,748","-0.2","-22,090"
" -> 2052","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2052,Vietnam","VN","2052","310,070","121,392,635","61,048,784","60,343,851","0.13","0.15","391.5","59.4","25.8","33.6","42.0","43.5","40.7","179,731","1.01","1.70","10.20","62.90","117.30","96.20","38.50","13.00","2.00","10.2","0.83","1,242,072","1.06","34,159","216,300","423,633","364,469","148,580","47,557","7,374","82.6","80.3","85.0","7.5","7.7","7.3","1.9","1.8","2.0","9.4","9.5","9.3","8.8","1,062,341","-0.2","-22,090"
" -> 2053","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2053,Vietnam","VN","2053","310,070","121,537,404","61,119,786","60,417,618","0.11","0.13","392.0","60.5","25.8","34.7","42.3","43.8","41.0","153,988","1.01","1.70","10.30","62.80","116.90","96.20","38.70","12.90","2.10","10.2","0.83","1,233,375","1.06","34,352","214,331","417,211","362,921","149,161","47,930","7,469","82.8","80.5","85.1","7.3","7.6","7.1","1.8","1.7","2.0","9.2","9.3","9.1","8.9","1,079,387","-0.2","-22,090"
" -> 2054","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2054,Vietnam","VN","2054","310,070","121,656,145","61,177,807","60,478,338","0.09","0.11","392.4","61.6","25.7","35.8","42.6","44.0","41.3","127,675","1.01","1.70","10.40","62.80","116.60","96.30","39.00","12.90","2.10","10.1","0.83","1,223,821","1.06","34,552","212,601","411,208","360,033","149,536","48,337","7,554","83.0","80.7","85.3","7.2","7.4","7.0","1.8","1.7","1.9","9.0","9.1","8.9","9.0","1,096,146","-0.2","-22,090"
" -> 2055","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2055,Vietnam","VN","2055","310,070","121,748,314","61,222,564","60,525,750","0.07","0.08","392.6","62.6","25.7","36.9","42.9","44.3","41.7","100,844","1.01","1.70","10.50","62.70","116.20","96.40","39.20","12.90","2.10","10.0","0.83","1,213,592","1.06","34,755","211,088","405,616","355,785","149,933","48,810","7,605","83.1","80.9","85.5","7.0","7.2","6.8","1.7","1.6","1.9","8.8","8.8","8.7","9.1","1,112,748","-0.2","-22,090"
" -> 2056","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2056,Vietnam","VN","2056","310,070","121,814,153","61,254,130","60,560,023","0.04","0.06","392.9","63.6","25.6","38.0","43.2","44.5","42.0","75,013","1.01","1.70","10.60","62.60","115.80","96.50","39.40","12.90","2.10","9.9","0.83","1,203,625","1.06","34,953","209,771","400,402","351,617","149,923","49,268","7,691","83.3","81.1","85.7","6.9","7.1","6.6","1.7","1.6","1.8","8.6","8.6","8.5","9.3","1,128,612","-0.2","-22,090"
" -> 2057","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2057,Vietnam","VN","2057","310,070","121,855,286","61,273,193","60,582,093","0.02","0.04","393.0","64.5","25.5","39.0","43.5","44.8","42.3","51,433","1.01","1.70","10.70","62.60","115.50","96.60","39.70","12.90","2.10","9.8","0.83","1,193,991","1.06","35,139","208,612","395,551","347,511","149,896","49,469","7,813","83.5","81.3","85.9","6.7","6.9","6.5","1.7","1.5","1.8","8.4","8.4","8.3","9.4","1,142,558","-0.2","-22,090"
" -> 2058","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2058,Vietnam","VN","2058","310,070","121,872,427","61,280,023","60,592,404","0.00","0.02","393.0","65.4","25.4","40.0","43.8","45.1","42.6","27,029","1.01","1.70","10.80","62.50","115.10","96.60","39.90","12.80","2.20","9.7","0.83","1,184,837","1.06","35,305","207,560","391,104","343,582","150,043","49,281","7,962","83.7","81.5","86.1","6.6","6.8","6.3","1.6","1.5","1.8","8.2","8.3","8.1","9.5","1,157,808","-0.2","-22,090"
" -> 2059","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2059,Vietnam","VN","2059","310,070","121,865,167","61,274,429","60,590,738","-0.02","0.00","393.0","66.2","25.3","40.8","44.1","45.4","43.0","2,633","1.01","1.70","10.90","62.50","114.80","96.70","40.20","12.80","2.20","9.7","0.83","1,175,853","1.06","35,444","206,566","387,108","339,966","149,624","49,028","8,117","83.9","81.7","86.2","6.4","6.6","6.2","1.6","1.4","1.7","8.0","8.1","7.9","9.6","1,173,220","-0.2","-22,090"
" -> 2060","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2060,Vietnam","VN","2060","310,070","121,833,805","61,256,577","60,577,228","-0.04","-0.02","392.9","66.8","25.2","41.6","44.4","45.6","43.3","-21,176","1.01","1.70","11.00","62.40","114.40","96.80","40.40","12.80","2.20","9.6","0.83","1,167,028","1.06","35,551","205,605","383,518","336,662","148,622","48,784","8,286","84.1","81.9","86.4","6.3","6.5","6.1","1.5","1.4","1.7","7.8","7.9","7.7","9.8","1,188,204","-0.2","-22,090"
" -> 2061","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2061,Vietnam","VN","2061","310,070","121,779,071","61,226,823","60,552,248","-0.05","-0.04","392.7","67.3","25.1","42.2","44.7","45.9","43.6","-44,112","1.01","1.70","11.10","62.30","114.00","96.90","40.60","12.80","2.20","9.5","0.83","1,158,699","1.06","35,627","204,634","380,294","333,645","147,634","48,412","8,453","84.3","82.1","86.6","6.2","6.4","5.9","1.5","1.4","1.6","7.6","7.7","7.5","9.9","1,202,811","-0.2","-22,090"
" -> 2062","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2062,Vietnam","VN","2062","310,070","121,702,621","61,185,886","60,516,735","-0.07","-0.05","392.5","67.8","25.0","42.8","45.0","46.2","43.9","-64,608","1.01","1.70","11.20","62.30","113.70","97.00","40.90","12.80","2.20","9.5","0.83","1,150,820","1.06","35,674","203,605","377,367","330,906","146,653","48,037","8,578","84.5","82.3","86.8","6.0","6.2","5.8","1.4","1.3","1.6","7.5","7.5","7.4","10.0","1,215,428","-0.2","-22,090"
" -> 2063","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2063,Vietnam","VN","2063","310,070","121,604,883","61,133,929","60,470,954","-0.09","-0.07","392.2","68.1","24.8","43.2","45.3","46.5","44.2","-86,688","1.01","1.70","11.30","62.20","113.30","97.00","41.10","12.70","2.30","9.4","0.83","1,143,381","1.06","35,691","202,482","374,638","328,483","145,728","47,723","8,636","84.6","82.5","86.9","5.9","6.1","5.7","1.4","1.3","1.5","7.3","7.4","7.2","10.1","1,230,069","-0.2","-22,090"
" -> 2064","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2064,Vietnam","VN","2064","310,070","121,485,109","61,070,692","60,414,417","-0.11","-0.09","391.8","68.3","24.7","43.6","45.6","46.7","44.5","-108,680","1.01","1.70","11.40","62.20","113.00","97.10","41.40","12.70","2.30","9.4","0.83","1,136,173","1.06","35,677","201,221","372,023","326,417","144,920","47,233","8,682","84.8","82.7","87.1","5.8","6.0","5.6","1.4","1.3","1.5","7.1","7.2","7.0","10.3","1,244,853","-0.2","-22,090"
" -> 2065","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2065,Vietnam","VN","2065","310,070","121,343,791","60,996,510","60,347,281","-0.13","-0.11","391.3","68.6","24.6","44.0","45.8","47.0","44.8","-129,777","1.01","1.70","11.50","62.10","112.60","97.20","41.60","12.70","2.30","9.3","0.83","1,129,104","1.06","35,629","199,799","369,472","324,680","144,227","46,568","8,729","85.0","82.9","87.3","5.6","5.8","5.4","1.3","1.2","1.5","7.0","7.0","6.9","10.4","1,258,881","-0.2","-22,090"
" -> 2066","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2066,Vietnam","VN","2066","310,070","121,181,961","60,911,955","60,270,006","-0.14","-0.12","390.8","68.9","24.5","44.4","46.1","47.2","45.1","-149,704","1.01","1.70","11.60","62.00","112.20","97.30","41.80","12.70","2.30","9.3","0.83","1,122,254","1.06","35,567","198,231","366,910","323,236","143,644","45,914","8,752","85.2","83.0","87.4","5.5","5.7","5.3","1.3","1.2","1.4","6.8","6.9","6.7","10.5","1,271,958","-0.2","-22,090"
" -> 2067","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2067,Vietnam","VN","2067","310,070","121,000,985","60,817,758","60,183,227","-0.16","-0.14","390.2","69.2","24.4","44.8","46.4","47.5","45.3","-168,068","1.01","1.70","11.70","62.00","111.90","97.40","42.10","12.70","2.30","9.2","0.83","1,115,542","1.06","35,519","196,529","364,249","322,033","143,166","45,272","8,774","85.3","83.2","87.6","5.4","5.6","5.2","1.3","1.2","1.4","6.7","6.7","6.6","10.6","1,283,610","-0.2","-22,090"
" -> 2068","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2068,Vietnam","VN","2068","310,070","120,801,021","60,713,996","60,087,025","-0.17","-0.16","389.6","69.6","24.3","45.2","46.6","47.7","45.6","-187,681","1.01","1.70","11.80","61.90","111.50","97.40","42.30","12.60","2.40","9.2","0.83","1,108,872","1.06","35,490","194,696","361,423","320,989","142,813","44,656","8,805","85.5","83.4","87.8","5.3","5.5","5.1","1.2","1.1","1.4","6.5","6.6","6.4","10.7","1,296,553","-0.2","-22,090"
" -> 2069","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2069,Vietnam","VN","2069","310,070","120,581,280","60,600,364","59,980,916","-0.19","-0.17","388.9","70.0","24.3","45.7","46.9","48.0","45.8","-207,621","1.01","1.70","11.90","61.90","111.20","97.50","42.60","12.60","2.40","9.1","0.83","1,102,094","1.06","35,487","192,724","358,361","320,031","142,605","44,082","8,804","85.7","83.6","87.9","5.2","5.4","5.0","1.2","1.1","1.3","6.4","6.5","6.3","10.9","1,309,715","-0.2","-22,090"
" -> 2070","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2070,Vietnam","VN","2070","310,070","120,342,078","60,477,194","59,864,884","-0.21","-0.19","388.1","70.4","24.2","46.2","47.1","48.2","46.1","-226,602","1.01","1.70","12.00","61.80","110.80","97.60","42.80","12.60","2.40","9.1","0.83","1,095,104","1.06","35,514","190,598","355,023","319,119","142,532","43,551","8,767","85.9","83.7","88.1","5.1","5.3","4.9","1.2","1.1","1.3","6.2","6.3","6.1","11.0","1,321,706","-0.2","-22,090"
" -> 2071","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2071,Vietnam","VN","2071","310,070","120,084,378","60,345,133","59,739,245","-0.22","-0.20","387.3","70.8","24.2","46.7","47.3","48.4","46.3","-244,616","1.01","1.70","12.10","61.70","110.40","97.70","43.00","12.60","2.40","9.1","0.83","1,087,979","1.06","35,551","188,441","351,430","318,187","142,580","43,060","8,730","86.0","83.9","88.3","5.0","5.1","4.8","1.1","1.1","1.3","6.1","6.2","6.0","11.1","1,332,595","-0.2","-22,090"
" -> 2072","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2072,Vietnam","VN","2072","310,070","119,809,501","60,204,964","59,604,537","-0.24","-0.22","386.4","71.3","24.1","47.1","47.5","48.6","46.5","-260,960","1.01","1.70","12.20","61.70","110.10","97.80","43.30","12.60","2.40","9.0","0.83","1,080,765","1.06","35,574","186,393","347,613","317,159","142,727","42,606","8,693","86.2","84.1","88.4","4.9","5.0","4.7","1.1","1.0","1.2","6.0","6.1","5.9","11.2","1,341,725","-0.2","-22,090"
" -> 2073","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2073,Vietnam","VN","2073","310,070","119,517,556","60,056,762","59,460,794","-0.25","-0.23","385.5","71.8","24.1","47.7","47.7","48.8","46.7","-278,751","1.01","1.70","12.30","61.60","109.70","97.80","43.50","12.50","2.50","9.0","0.83","1,073,413","1.06","35,589","184,482","343,573","315,976","142,940","42,193","8,660","86.3","84.2","88.6","4.8","4.9","4.6","1.1","1.0","1.2","5.8","5.9","5.7","11.3","1,352,164","-0.2","-22,090"
" -> 2074","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2074,Vietnam","VN","2074","310,070","119,208,219","59,900,345","59,307,874","-0.27","-0.25","384.5","72.3","24.1","48.2","47.9","49.0","46.9","-295,742","1.01","1.70","12.40","61.60","109.40","97.90","43.80","12.50","2.50","8.9","0.83","1,065,857","1.06","35,599","182,736","339,303","314,573","143,184","41,830","8,632","86.5","84.4","88.7","4.7","4.8","4.5","1.1","1.0","1.2","5.7","5.8","5.6","11.4","1,361,599","-0.2","-22,090"
" -> 2075","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2075,Vietnam","VN","2075","310,070","118,882,521","59,736,276","59,146,245","-0.28","-0.26","383.4","72.8","24.1","48.7","48.1","49.2","47.1","-311,474","1.01","1.70","12.50","61.50","109.00","98.00","44.00","12.50","2.50","8.9","0.83","1,058,036","1.06","35,610","181,174","334,776","312,911","143,445","41,509","8,611","86.7","84.6","88.9","4.6","4.7","4.4","1.0","0.9","1.1","5.6","5.7","5.5","11.5","1,369,510","-0.2","-22,090"
" -> 2076","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vietnam","2076,Vietnam","VN","2076","310,070","118,541,775","59,565,400","58,976,375","-0.29","-0.28","382.3","73.3","24.1","49.3","48.3","49.4","47.3","-325,840","1.01","1.70","12.60","61.40","108.60","98.10","44.20","12.50","2.50","8.9","0.83","1,050,041","1.06","35,626","179,681","330,210","311,010","143,691","41,227","8,596","86.8","84.7","89.0","4.5","4.6","4.3","1.0","0.9","1.1","5.5","5.6","5.4","11.6","1,375,881","-0.2","-22,090"
" -> 2077","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
